locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILNFNBCO_01155	CDS	465				hypothetical protein
ILNFNBCO_01156	CDS	1170	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
ILNFNBCO_01157	CDS	585				hypothetical protein
ILNFNBCO_01158	CDS	2319				hypothetical protein
ILNFNBCO_01159	CDS	606	lolA_1			Outer-membrane lipoprotein carrier protein
ILNFNBCO_01160	CDS	423		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
ILNFNBCO_01161	CDS	1677				hypothetical protein
ILNFNBCO_01162	CDS	354				hypothetical protein
ILNFNBCO_01163	CDS	402				hypothetical protein
ILNFNBCO_01164	CDS	906				hypothetical protein
ILNFNBCO_01165	CDS	582				hypothetical protein
ILNFNBCO_01166	CDS	252	acpP_1		COG0236	Acyl carrier protein
ILNFNBCO_01167	CDS	258				hypothetical protein
ILNFNBCO_01168	CDS	669				hypothetical protein
ILNFNBCO_01169	CDS	150				hypothetical protein
ILNFNBCO_01170	CDS	723				hypothetical protein
ILNFNBCO_01171	CDS	1059	sfmM2	2.1.1.304		L-tyrosine C(3)-methyltransferase
ILNFNBCO_01172	CDS	378				hypothetical protein
ILNFNBCO_01173	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
ILNFNBCO_01174	CDS	1251	yhhS			putative MFS-type transporter YhhS
ILNFNBCO_01175	CDS	558				hypothetical protein
ILNFNBCO_01176	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
ILNFNBCO_01177	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
ILNFNBCO_01178	CDS	2199	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
ILNFNBCO_01179	CDS	627				hypothetical protein
ILNFNBCO_01180	CDS	360				hypothetical protein
ILNFNBCO_01181	CDS	270				hypothetical protein
ILNFNBCO_01182	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
ILNFNBCO_01183	CDS	1497	ftsY		COG0552	Signal recognition particle receptor FtsY
ILNFNBCO_01184	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
ILNFNBCO_01185	CDS	1059	ftsX		COG2177	Cell division protein FtsX
ILNFNBCO_01186	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
ILNFNBCO_01187	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
ILNFNBCO_01188	CDS	267				hypothetical protein
ILNFNBCO_01189	CDS	528				hypothetical protein
ILNFNBCO_01190	CDS	384	panZ			PanD regulatory factor
ILNFNBCO_01191	CDS	1110	livK		COG0683	Leucine-specific-binding protein
ILNFNBCO_01192	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ILNFNBCO_01193	CDS	1278				hypothetical protein
ILNFNBCO_01194	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ILNFNBCO_01195	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ILNFNBCO_01196	CDS	747				hypothetical protein
ILNFNBCO_01197	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
ILNFNBCO_01198	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
ILNFNBCO_01199	CDS	846	lacG			Lactose transport system permease protein LacG
ILNFNBCO_01200	CDS	1071	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
ILNFNBCO_01201	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
ILNFNBCO_01202	CDS	441	yhhA			putative protein YhhA
ILNFNBCO_01203	CDS	1746	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
ILNFNBCO_01204	CDS	417				hypothetical protein
ILNFNBCO_01205	CDS	912				hypothetical protein
ILNFNBCO_01206	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
ILNFNBCO_01207	misc_RNA	65				RyhB
ILNFNBCO_01208	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
ILNFNBCO_01209	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
ILNFNBCO_01210	CDS	996	gntR			HTH-type transcriptional regulator GntR
ILNFNBCO_01211	CDS	528	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
ILNFNBCO_01212	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
ILNFNBCO_01213	CDS	609	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
ILNFNBCO_01214	CDS	390				hypothetical protein
ILNFNBCO_01215	CDS	1098				hypothetical protein
ILNFNBCO_01216	CDS	1203				hypothetical protein
ILNFNBCO_01217	CDS	594				hypothetical protein
ILNFNBCO_01218	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
ILNFNBCO_01219	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
ILNFNBCO_01220	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
ILNFNBCO_01221	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
ILNFNBCO_01222	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
ILNFNBCO_01223	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
ILNFNBCO_01224	CDS	1509				hypothetical protein
ILNFNBCO_01225	CDS	993				hypothetical protein
ILNFNBCO_01226	CDS	603				hypothetical protein
ILNFNBCO_01227	CDS	1506	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
ILNFNBCO_01228	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
ILNFNBCO_01229	CDS	831	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
ILNFNBCO_01230	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
ILNFNBCO_01231	CDS	1599	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
ILNFNBCO_01232	CDS	1227	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
ILNFNBCO_01233	CDS	1029	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
ILNFNBCO_01234	CDS	486				hypothetical protein
ILNFNBCO_01235	CDS	279				hypothetical protein
ILNFNBCO_01236	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
ILNFNBCO_01237	CDS	2394	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
ILNFNBCO_01238	CDS	2085	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
ILNFNBCO_01239	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
ILNFNBCO_01240	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
ILNFNBCO_01241	CDS	684	prs_1			Putative ribose-phosphate pyrophosphokinase
ILNFNBCO_01242	CDS	771	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
ILNFNBCO_01243	CDS	879				ISNCY family transposase ISVsa17
ILNFNBCO_01244	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
ILNFNBCO_01245	CDS	2322	feoB		COG0370	Fe(2+) transporter FeoB
ILNFNBCO_01246	CDS	228	feoA		COG1918	Fe(2+) transport protein A
ILNFNBCO_01247	CDS	2322	yhgF		COG2183	Protein YhgF
ILNFNBCO_01248	CDS	477	greB		COG0782	Transcription elongation factor GreB
ILNFNBCO_01249	CDS	720	ompR_2			Transcriptional regulatory protein OmpR
ILNFNBCO_01250	CDS	1353	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
ILNFNBCO_01251	CDS	1623	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
ILNFNBCO_01252	CDS	1725				hypothetical protein
ILNFNBCO_01253	CDS	879	hslO		COG1281	33 kDa chaperonin
ILNFNBCO_01254	CDS	402	hslR		COG1188	Heat shock protein 15
ILNFNBCO_01255	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
ILNFNBCO_01256	CDS	2124	yrfF			Putative membrane protein IgaA 
ILNFNBCO_01257	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
ILNFNBCO_01258	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
ILNFNBCO_01259	CDS	795				hypothetical protein
ILNFNBCO_01260	CDS	540				hypothetical protein
ILNFNBCO_01261	CDS	441				hypothetical protein
ILNFNBCO_01262	CDS	405				hypothetical protein
ILNFNBCO_01263	CDS	1209	pilQ			Type IV pilus biogenesis and competence protein PilQ
ILNFNBCO_01264	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
ILNFNBCO_01265	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
ILNFNBCO_01266	CDS	1287	damX		COG3266	Cell division protein DamX
ILNFNBCO_01267	CDS	837	dam	2.1.1.72	COG0338	DNA adenine methylase
ILNFNBCO_01268	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
ILNFNBCO_01269	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
ILNFNBCO_01270	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
ILNFNBCO_01271	CDS	732	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
ILNFNBCO_01272	CDS	435	frlD_1	2.7.1.218	COG0524	Fructoselysine 6-kinase
ILNFNBCO_01273	CDS	333	frlD_2	2.7.1.218	COG0524	Fructoselysine 6-kinase
ILNFNBCO_01274	CDS	828	frlC	5.1.3.41	COG1082	Fructoselysine 3-epimerase
ILNFNBCO_01275	CDS	1023	frlB	3.5.-.-	COG2222	Fructoselysine 6-phosphate deglycase
ILNFNBCO_01276	CDS	1338	frlA		COG0531	putative fructoselysine/psicoselysine transporter FrlA
ILNFNBCO_01277	CDS	168				hypothetical protein
ILNFNBCO_01278	CDS	1374	cysG		COG0007	Siroheme synthase
ILNFNBCO_01279	CDS	807	nirC		COG2116	Nitrite transporter NirC
ILNFNBCO_01280	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
ILNFNBCO_01281	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
ILNFNBCO_01282	CDS	1182	tsgA		COG0477	Protein TsgA
ILNFNBCO_01283	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
ILNFNBCO_01284	CDS	168	yhfG			putative protein YhfG
ILNFNBCO_01285	CDS	603	fic	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
ILNFNBCO_01286	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
ILNFNBCO_01287	CDS	1221	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
ILNFNBCO_01288	CDS	1824				hypothetical protein
ILNFNBCO_01289	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
ILNFNBCO_01290	CDS	405	yhfA		COG1765	Protein YhfA
ILNFNBCO_01291	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
ILNFNBCO_01292	CDS	219				hypothetical protein
ILNFNBCO_01293	CDS	1023				hypothetical protein
ILNFNBCO_01294	CDS	1914	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
ILNFNBCO_01295	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
ILNFNBCO_01296	CDS	1779	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
ILNFNBCO_01297	CDS	201				hypothetical protein
ILNFNBCO_01298	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
ILNFNBCO_01299	CDS	219	slyX		COG2900	Protein SlyX 
ILNFNBCO_01300	CDS	813	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
ILNFNBCO_01301	CDS	723	dauR		COG2964	Transcriptional regulator DauR
ILNFNBCO_01302	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
ILNFNBCO_01303	CDS	360	tusC		COG2923	Protein TusC
ILNFNBCO_01304	CDS	288	tusB		COG2168	Protein TusB
ILNFNBCO_01305	CDS	375	rpsL		COG0048	30S ribosomal protein S12
ILNFNBCO_01306	CDS	471	rpsG		COG0049	30S ribosomal protein S7
ILNFNBCO_01307	CDS	2115	fusA		COG0480	Elongation factor G
ILNFNBCO_01308	CDS	1089	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
ILNFNBCO_01309	CDS	1182				hypothetical protein
ILNFNBCO_01310	CDS	1026	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
ILNFNBCO_01311	CDS	222				hypothetical protein
ILNFNBCO_01312	CDS	297				hypothetical protein
ILNFNBCO_01313	CDS	1233	acrF_1		COG0841	Multidrug export protein AcrF
ILNFNBCO_01314	CDS	1887	acrF_2		COG0841	Multidrug export protein AcrF
ILNFNBCO_01315	CDS	1158	acrE			Multidrug export protein AcrE
ILNFNBCO_01316	CDS	663	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
ILNFNBCO_01317	CDS	180				hypothetical protein
ILNFNBCO_01318	CDS	885	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
ILNFNBCO_01319	CDS	297	fis		COG2901	DNA-binding protein Fis
ILNFNBCO_01320	CDS	966	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
ILNFNBCO_01321	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
ILNFNBCO_01322	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
ILNFNBCO_01323	CDS	243	yhdT		COG3924	putative membrane protein YhdT
ILNFNBCO_01324	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
ILNFNBCO_01325	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
ILNFNBCO_01326	CDS	975	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
ILNFNBCO_01327	CDS	1941	csrD			RNase E specificity factor CsrD
ILNFNBCO_01328	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
ILNFNBCO_01329	CDS	1104	mreC		COG1792	Cell shape-determining protein MreC
ILNFNBCO_01330	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
ILNFNBCO_01331	CDS	594	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
ILNFNBCO_01332	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
ILNFNBCO_01333	CDS	3801				hypothetical protein
ILNFNBCO_01334	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
ILNFNBCO_01335	CDS	930	dmlR_2			HTH-type transcriptional regulator DmlR
ILNFNBCO_01336	CDS	204	aaeX			Protein AaeX
ILNFNBCO_01337	CDS	930	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
ILNFNBCO_01338	CDS	1968	aaeB_1		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
ILNFNBCO_01339	CDS	273	yhcO		COG2732	putative protein YhcO
ILNFNBCO_01340	CDS	264	bhsA_1			Multiple stress resistance protein BhsA
ILNFNBCO_01341	CDS	471	argR		COG1438	Arginine repressor
ILNFNBCO_01342	CDS	939	mdh_1	1.1.1.37	COG0039	Malate dehydrogenase
ILNFNBCO_01343	CDS	1068	degS	3.4.21.107	COG0265	Serine endoprotease DegS
ILNFNBCO_01344	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
ILNFNBCO_01345	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
ILNFNBCO_01346	CDS	1128	zapE		COG1485	Cell division protein ZapE
ILNFNBCO_01347	CDS	429	rplM		COG0102	50S ribosomal protein L13
ILNFNBCO_01348	CDS	393	rpsI		COG0103	30S ribosomal protein S9
ILNFNBCO_01349	CDS	639	sspA		COG0625	Stringent starvation protein A
ILNFNBCO_01350	CDS	498	sspB		COG2969	Stringent starvation protein B
ILNFNBCO_01351	CDS	1365	dcuD_1		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
ILNFNBCO_01352	CDS	792	nanR_1		COG2186	HTH-type transcriptional repressor NanR
ILNFNBCO_01353	CDS	894	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
ILNFNBCO_01354	CDS	1491	nanT			Sialic acid transporter NanT
ILNFNBCO_01355	CDS	690	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
ILNFNBCO_01356	CDS	876	nanK	2.7.1.60	COG1940	N-acetylmannosamine kinase
ILNFNBCO_01357	CDS	465	yhcH		COG2731	putative protein YhcH
ILNFNBCO_01358	CDS	1050	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
ILNFNBCO_01359	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
ILNFNBCO_01360	CDS	4554	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
ILNFNBCO_01361	CDS	930				hypothetical protein
ILNFNBCO_01362	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
ILNFNBCO_01363	misc_RNA	108				ArcZ
ILNFNBCO_01364	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
ILNFNBCO_01365	CDS	729	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
ILNFNBCO_01366	CDS	633	yrbL			putative protein YrbL
ILNFNBCO_01367	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
ILNFNBCO_01368	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
ILNFNBCO_01369	CDS	492	ptsN		COG1762	Nitrogen regulatory protein
ILNFNBCO_01370	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
ILNFNBCO_01371	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
ILNFNBCO_01372	CDS	726	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ILNFNBCO_01373	CDS	558	lptA		COG1934	Lipopolysaccharide export system protein LptA
ILNFNBCO_01374	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
ILNFNBCO_01375	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
ILNFNBCO_01376	CDS	987	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
ILNFNBCO_01377	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
ILNFNBCO_01378	CDS	810	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
ILNFNBCO_01379	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
ILNFNBCO_01380	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
ILNFNBCO_01381	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
ILNFNBCO_01382	CDS	294	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
ILNFNBCO_01383	CDS	270	ibaG		COG5007	Acid stress protein IbaG
ILNFNBCO_01384	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
ILNFNBCO_01385	CDS	279				hypothetical protein
ILNFNBCO_01386	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
ILNFNBCO_01387	CDS	312	rplU		COG0261	50S ribosomal protein L21
ILNFNBCO_01388	CDS	258	rpmA		COG0211	50S ribosomal protein L27
ILNFNBCO_01389	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
ILNFNBCO_01390	CDS	1173	obgE	3.6.5.-	COG0536	GTPase ObgE/CgtA
ILNFNBCO_01391	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
ILNFNBCO_01392	misc_RNA	122				greA
ILNFNBCO_01393	CDS	477	greA		COG0782	Transcription elongation factor GreA
ILNFNBCO_01394	CDS	294	yhbY		COG1534	RNA-binding protein YhbY
ILNFNBCO_01395	CDS	630	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
ILNFNBCO_01396	CDS	1944	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
ILNFNBCO_01397	CDS	849	folP_3	2.5.1.15	COG0294	Dihydropteroate synthase
ILNFNBCO_01398	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
ILNFNBCO_01399	CDS	333	secG		COG1314	Protein-export membrane protein SecG
ILNFNBCO_01400	tRNA	87				tRNA-Leu(gag)
ILNFNBCO_01401	CDS	1518	yhbX_2	2.-.-.-	COG2194	Putative transferase YhbX
ILNFNBCO_01402	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
ILNFNBCO_01403	tRNA	77				tRNA-Met(cat)
ILNFNBCO_01404	misc_RNA	101				rimP
ILNFNBCO_01405	CDS	453	rimP		COG0779	Ribosome maturation factor RimP
ILNFNBCO_01406	CDS	1488	nusA		COG0195	Transcription termination/antitermination protein NusA
ILNFNBCO_01407	CDS	2673	infB		COG0532	Translation initiation factor IF-2
ILNFNBCO_01408	misc_RNA	71				naRNA4
ILNFNBCO_01409	CDS	402	rbfA		COG0858	30S ribosome-binding factor
ILNFNBCO_01410	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
ILNFNBCO_01411	misc_RNA	115				S15
ILNFNBCO_01412	CDS	270	rpsO		COG0184	30S ribosomal protein S15
ILNFNBCO_01413	misc_RNA	172				SraG
ILNFNBCO_01414	CDS	2136	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
ILNFNBCO_01415	CDS	885	nlpI		COG4785	Lipoprotein NlpI
ILNFNBCO_01416	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
ILNFNBCO_01417	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
ILNFNBCO_01418	CDS	1008				hypothetical protein
ILNFNBCO_01419	CDS	879				hypothetical protein
ILNFNBCO_01420	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
ILNFNBCO_01421	CDS	525	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
ILNFNBCO_01422	CDS	504				hypothetical protein
ILNFNBCO_01423	CDS	303				hypothetical protein
ILNFNBCO_01424	CDS	444				hypothetical protein
ILNFNBCO_01425	CDS	519	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
ILNFNBCO_01426	CDS	636				hypothetical protein
ILNFNBCO_01427	CDS	1041				hypothetical protein
ILNFNBCO_01428	CDS	576	osmY_2		COG2823	Osmotically-inducible protein Y
ILNFNBCO_01429	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
ILNFNBCO_01430	CDS	396				hypothetical protein
ILNFNBCO_01431	CDS	2037	lpoA		COG3107	Penicillin-binding protein activator LpoA
ILNFNBCO_01432	CDS	861	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
ILNFNBCO_01433	CDS	351	yraK_1			putative fimbrial-like protein YraK
ILNFNBCO_01434	CDS	408	yraK_2			putative fimbrial-like protein YraK
ILNFNBCO_01435	CDS	2517	yraJ		COG3188	Outer membrane usher protein YraJ
ILNFNBCO_01436	CDS	675	yraI_1			putative fimbrial chaperone YraI
ILNFNBCO_01437	CDS	585	yraH			putative fimbrial-like protein YraH
ILNFNBCO_01438	CDS	510	gamA	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
ILNFNBCO_01439	CDS	162				hypothetical protein
ILNFNBCO_01440	CDS	792	manZ_1		COG3716	PTS system mannose-specific EIID component
ILNFNBCO_01441	CDS	630	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
ILNFNBCO_01442	CDS	477	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
ILNFNBCO_01443	CDS	861	kbaY_2	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
ILNFNBCO_01444	CDS	1155	agaS	3.5.99.-	COG2222	D-galactosamine-6-phosphate deaminase AgaS
ILNFNBCO_01445	CDS	1134	agaA	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
ILNFNBCO_01446	CDS	435	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
ILNFNBCO_01447	CDS	879	manZ_2		COG3716	PTS system mannose-specific EIID component
ILNFNBCO_01448	CDS	780	agaC_2		COG3715	N-acetylgalactosamine permease IIC component 1
ILNFNBCO_01449	CDS	474	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
ILNFNBCO_01450	CDS	1281	kbaZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ
ILNFNBCO_01451	CDS	810	srlR_2		COG1349	Glucitol operon repressor
ILNFNBCO_01452	CDS	465	yhaV	3.1.-.-		Ribonuclease toxin YhaV
ILNFNBCO_01453	CDS	336	prlF		COG2002	Antitoxin PrlF
ILNFNBCO_01454	CDS	1572	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
ILNFNBCO_01455	CDS	1335	garP			putative galactarate transporter
ILNFNBCO_01456	CDS	771	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
ILNFNBCO_01457	CDS	891	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
ILNFNBCO_01458	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
ILNFNBCO_01459	misc_RNA	377				RNaseP_bact_a
ILNFNBCO_01460	CDS	1188				hypothetical protein
ILNFNBCO_01461	CDS	540				hypothetical protein
ILNFNBCO_01462	CDS	345				hypothetical protein
ILNFNBCO_01463	CDS	939	tsaR_1			HTH-type transcriptional regulator TsaR
ILNFNBCO_01464	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
ILNFNBCO_01465	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
ILNFNBCO_01466	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
ILNFNBCO_01467	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
ILNFNBCO_01468	CDS	390	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
ILNFNBCO_01469	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
ILNFNBCO_01470	CDS	1332	dlsT		COG0814	Serine transporter
ILNFNBCO_01471	CDS	1311				hypothetical protein
ILNFNBCO_01472	CDS	165				hypothetical protein
ILNFNBCO_01473	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
ILNFNBCO_01474	CDS	897	yhaJ_1			HTH-type transcriptional regulator YhaJ
ILNFNBCO_01475	CDS	357	yhaI		COG3152	Inner membrane protein YhaI
ILNFNBCO_01476	CDS	366	yhaH		COG3152	Inner membrane protein YhaH
ILNFNBCO_01477	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
ILNFNBCO_01478	CDS	483	yqjF		COG2259	Inner membrane protein YqjF
ILNFNBCO_01479	CDS	300				hypothetical protein
ILNFNBCO_01480	CDS	405	yqjE		COG5393	Inner membrane protein YqjE
ILNFNBCO_01481	CDS	306	yqjD		COG4575	putative protein YqjD
ILNFNBCO_01482	CDS	369	yqjC			Protein YqjC
